"","symbol","security","gics.sector","gics.sub.industry"
"66","BRK-B","Berkshire Hathaway","Financials","Multi-Sector Holdings"
"67","BBY","Best Buy Co. Inc.","Consumer Discretionary","Computer & Electronics Retail"
"68","BIO","Bio-Rad Laboratories","Health Care","Life Sciences Tools & Services"
"69","BIIB","Biogen Inc.","Health Care","Biotechnology"
"70","BLK","BlackRock","Financials","Asset Management & Custody Banks"
"71","BA","Boeing Company","Industrials","Aerospace & Defense"
"72","BKNG","Booking Holdings Inc","Consumer Discretionary","Internet & Direct Marketing Retail"
"73","BWA","BorgWarner","Consumer Discretionary","Auto Parts & Equipment"
"74","BXP","Boston Properties","Real Estate","Office REITs"
"75","BSX","Boston Scientific","Health Care","Health Care Equipment"
"76","BMY","Bristol-Myers Squibb","Health Care","Health Care Distributors"
